transaction_id,timestamp,platform,purchased_currency,sold_currency,purchased_qty,sold_qty,fee_currency,fee_qty,purchased_currency_spot_price_usd,sold_currency_spot_price_usd,tx_notes
,2017-09-03T23:01:52Z,Coinbase,ETH,USD,1.35971085,353.62,USD,19.18,353.62,,Bought 1.35971085 ETH for $500.00 USD
This can be blank,2017-09-06T17:08:49Z,Coinbase,ETH,USD,7.23235402,340.59,USD,36.7,340.59,,"Bought 7.23235402 ETH for $2,500.00 USD"
,12/17/17 17:06,Binance,BTC,LTC,0.04999122,3.06,BTC,0.00004999,,324.6,
,2017-09-06T17:09:31Z,Coinbase,LTC,USD,6.09636805,80.81,USD,7.34,80.81,,Bought 6.09636805 LTC for $500.00 USD
,2017-09-06T17:09:18Z,Coinbase,BTC,USD,0.10628943,4635.08,USD,7.34,4635.08,,Bought 0.10628943 BTC for $500.00 USD
11502192,2017-10-03T05:25:11.738Z,Coinbase Pro,ETH,USD,0.6734,199.9998,USD,0,,,
11510236,2017-10-03T11:02:51.894Z,Coinbase Pro,ETH,USD,0.35228719,102.8889967,USD,0,,,
11510246,2017-10-03T11:04:17.534Z,Coinbase Pro,ETH,USD,0.33216281,97.01147029,USD,0,,,
11613926,2017-10-07T13:41:52.562Z,Coinbase Pro,USD,ETH,1.246260045,0.00405301,USD,0,,,
11613927,2017-10-07T13:41:54.993Z,Coinbase Pro,USD,ETH,416.2790365,1.35379699,USD,0,,,
11624830,2017-10-08T00:19:15.472Z,Coinbase Pro,ETH,USD,0.642,200.03436,USD,0,,,
11628947,2017-10-08T06:01:57.710Z,Coinbase Pro,ETH,USD,1.28614,400.1052926,USD,0,,,
11649606,2017-10-09T03:59:40.029Z,Coinbase Pro,ETH,USD,0.32788,100.0034,USD,0,,,
11663601,2017-10-09T14:52:36.480Z,Coinbase Pro,ETH,USD,0.33333,99.999,USD,0,,,
11667878,2017-10-09T17:25:24.059Z,Coinbase Pro,ETH,USD,0.33899,100.00205,USD,0,,,
11673191,2017-10-09T19:15:50.430Z,Coinbase Pro,ETH,USD,0.34484,100.0036,USD,0,,,
11687993,2017-10-09T22:17:26.845Z,Coinbase Pro,ETH,USD,0.05899,17.4692986,USD,0,,,
,12/20/17 1:57,Binance,BTC,BCH,0.108345,0.465,BTC,0.00010835,,4287.245445,
12076702,2017-10-17T21:12:52.667Z,Coinbase Pro,ETH,USD,3.16477,1000.004025,USD,0,,,
,12/17/17 17:14,Binance,QTUM,BTC,33.99,0.04993131,QTUM,0.03399,,19298.98,
,12/20/17 1:51,Binance,BCH,BTC,0.466,0.117898,BCH,0.000466,,18400,
22545753,2017-10-25T12:41:15.983Z,Coinbase Pro,BTC,USD,0.181818,999.9971818,USD,0,,,
25772394,2017-12-02T02:08:18.703Z,Coinbase Pro,BTC,USD,0.09090888,999.9958618,USD,0,,,
2231411,2017-12-17T16:38:49.404Z,Coinbase Pro,LTC,BTC,3.06330918,0.050912199,BTC,0,319.8449196,,
29557183,2017-12-22T01:05:52.803Z,Coinbase Pro,USD,BTC,589.3976071,0.03880169,USD,1.48089851,,,
205499,2017-12-22T01:07:10.931Z,Coinbase Pro,BCH,USD,0.38453345,1192.207508,USD,0,,,
205501,2017-12-22T01:07:14.383Z,Coinbase Pro,BCH,USD,0.01,31.004,USD,0,,,
205502,2017-12-22T01:07:14.965Z,Coinbase Pro,BCH,USD,0.01,31.004,USD,0,,,
205504,2017-12-22T01:07:19.898Z,Coinbase Pro,BCH,USD,0.891025,2762.53391,USD,0,,,
29557184,2017-12-22T01:05:52.803Z,Coinbase Pro,USD,BTC,1518.977945,0.1,USD,3.8165275,,,
29557185,2017-12-22T01:05:52.803Z,Coinbase Pro,USD,BTC,1898.295895,0.12497282,USD,4.769587675,,,
42440721,2018-04-26T14:20:21.416Z,Coinbase Pro,BTC,USD,0.2272727,1999.99976,USD,0,,,
